TC_Bulk_Update_Template,,,,,,,
Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36574166,ATT-BCS-Premier-O-BusinessCare-ManageEmpGrpLogins,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageEmpGrpLogins,no,no,no
36574178,ATT-BCS-Premier-O-BusinessCare-ManageFndAcctPerm,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageFndAcctPerm,no,no,no
36574172,ATT-BCS-Premier-O-BusinessCare-ManageLocalNbrPort,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageLocalNbrPort,no,no,no
36574167,ATT-BCS-Premier-O-BusinessCare-ManageOrderAddress,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageOrderAddress,no,no,no
36574168,ATT-BCS-Premier-O-BusinessCare-ManagePmtOption,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManagePmtOption,no,no,no
36574169,ATT-BCS-Premier-O-BusinessCare-ManagePrdPref,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManagePrdPref,no,no,no
36574176,ATT-BCS-Premier-O-BusinessCare-ManageTwoStepLogin,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageTwoStepLogin,no,no,no
36574170,ATT-BCS-Premier-O-BusinessCare-ManageUserDfdLbl,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-ManageUserDfdLbl,no,no,no
37984949,ATT-BCS-Premier-O-BusinessConsole-ManageP,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageP,no,no,no
37984951,ATT-BCS-Premier-O-BusinessConsole-ManageP-Cancel,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageP-Cancel,no,no,no
37984950,ATT-BCS-Premier-O-BusinessConsole-ManageP-License,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageP-License,no,no,no
37984952,ATT-BCS-Premier-O-BusinessConsole-ManageProd-Rev,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageProd-Rev,no,no,no
37984943,ATT-BCS-Premier-O-BusinessConsole-ManageU,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageU,no,no,no
37984944,ATT-BCS-Premier-O-BusinessConsole-ManageU-Action,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageU-Action,no,no,no
37984945,ATT-BCS-Premier-O-BusinessConsole-ManageU-Products,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageU-Products,no,no,no
37984947,ATT-BCS-Premier-O-BusinessConsole-ManageU-Review,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageU-Review,no,no,no
37984946,ATT-BCS-Premier-O-BusinessConsole-ManageU-Users,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessConsole-ManageU-Users,no,no,no
36574180,ATT-BCS-Premier-O-BusinessCare-DetachLoginProf,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-DetachLoginProf,no,no,no
36574181,ATT-BCS-Premier-O-BusinessCare-UpdateMyLoginProf,https://www.wireless.att.com/businesscare/requests/registrationRequests.jsp,(?!.*firstnet).*/businesscare/requests/registrationRequests.jsp.*,ATT-BCS-Premier-O-BusinessCare-UpdateMyLoginProf,no,no,no
36215883,ATT-BCS-Premier-O-Business Support,https://www.wireless.att.com/business/support,(?!.*firstnet).*/business,ATT-BCS-Premier-O-Business Support,no,no,no
