Page_ID,Content_Name,Content_URL,Content_Pattern,Marker_ID,Active(YES/NO),Cobrowse_Suppressed(YES/NO),Non-matching_page(YES/NO)
36212760,ATT-AP-APSS-O-CAPSRequest,https://workspace.web.att.com/sites/APSS/CAPS/default.aspx,(.*)/sites/APSS/CAPS(.test)?/default.aspx(.*),ATT-AP-APSS-O-CAPSRequest,yes,no,no
36212761,ATT-AP-APSS-O-CAPSExpense,https://workspace.web.att.com/sites/APSS/CAPSExpense/default.aspx,(.*)/sites/APSS/CAPSExpense/default.aspx(.*),ATT-AP-APSS-O-CAPSExpense,yes,no,no
36212762,ATT-AP-APSS-O-CardProg,https://workspace.web.att.com/sites/APSS/CardProg/default.aspx,(.*)/sites/APSS/CardProg/default.aspx(.*),ATT-AP-APSS-O-CardProg,yes,no,no
36212763,ATT-AP-APSS-O-CardProg_Acknowledgement,https://workspace.web.att.com/sites/APSS/CardProg/Acknowledge/default.aspx,(.*)/sites/APSS/CardProg/Acknowledge/default.aspx(.*),ATT-AP-APSS-O-CardProg_Acknowledgement,yes,no,no
36212764,ATT-AP-APSS-O-CardProg_Enroll,https://workspace.web.att.com/sites/APSS/CardProg/enroll/default.aspx,(.*)/sites/APSS/CardProg/enroll/default.aspx(.*),ATT-AP-APSS-O-CardProg_Enroll,yes,no,no
36212765,ATT-AP-APSS-O-CardProg_Lang,https://workspace.web.att.com/sites/APSS/CardProg/Lang/default.aspx,(.*)/sites/APSS/CardProg/Lang/default.aspx(.*),ATT-AP-APSS-O-CardProg_Lang,yes,no,no
36212766,ATT-AP-APSS-O-CardProgOld,https://workspace.web.att.com/sites/APSS/CardProgOld/default.aspx,(.*)/sites/APSS/CardProgOld/default.aspx(.*),ATT-AP-APSS-O-CardProgOld,yes,no,no
36212767,ATT-AP-APSS-O-CardProgOld_Acknowledgement,https://workspace.web.att.com/sites/APSS/CardProgOld/acknow/default.aspx,(.*)/sites/APSS/CardProgOld/acknow/default.aspx(.*),ATT-AP-APSS-O-CardProgOld_Acknowledgement,yes,no,no
36212768,ATT-AP-APSS-O-CardProgOld_Lang,https://workspace.web.att.com/sites/APSS/CardProgOld/CClang/default.aspx,(.*)/sites/APSS/CardProgOld/CClang/default.aspx(.*),ATT-AP-APSS-O-CardProgOld_Lang,yes,no,no
36212769,ATT-AP-APSS-O-CardProgOld_Enroll,https://workspace.web.att.com/sites/APSS/CardProgOld/enrollment/default.aspx,(.*)/sites/APSS/CardProgOld/enrollment/default.aspx(.*),ATT-AP-APSS-O-CardProgOld_Enroll,yes,no,no
36212770,ATT-AP-APSS-O-EETPolicy_Home,https://workspace.web.att.com/sites/APSS/EETPolicy/default.aspx,(.*)/sites/APSS/EETPolicy/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_Home,yes,no,no
36212771,ATT-AP-APSS-O-EETPolicy_Disaster,https://workspace.web.att.com/sites/APSS/EETPolicy/disaster/default.aspx,(.*)/sites/APSS/EETPolicy/disaster/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_Disaster,yes,no,no
36212772,ATT-AP-APSS-O-EETPolicy_Expenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_Expenses,yes,no,no
36212773,ATT-AP-APSS-O-EETPolicy_AirlineExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/airlines/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/airlines/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_AirlineExpenses,yes,no,no
36212774,ATT-AP-APSS-O-EETPolicy_AutoExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/auto/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/auto/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_AutoExpenses,yes,no,no
36212775,ATT-AP-APSS-O-EETPolicy_GroundExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/ground/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/ground/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_GroundExpenses,yes,no,no
36212776,ATT-AP-APSS-O-EETPolicy_LodgingExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/lodging/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/lodging/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_LodgingExpenses,yes,no,no
36212777,ATT-AP-APSS-O-EETPolicy_ParkingExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/parking/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/parking/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_ParkingExpenses,yes,no,no
36212778,ATT-AP-APSS-O-EETPolicy_RentalExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/expenses/rental/default.aspx,(.*)/sites/APSS/EETPolicy/expenses/rental/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_RentalExpenses,yes,no,no
36212779,ATT-AP-APSS-O-EETPolicy_MealsExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/meals/default.aspx,(.*)/sites/APSS/EETPolicy/meals/default.aspx,ATT-AP-APSS-O-EETPolicy_MealsExpenses,yes,no,no
36212780,ATT-AP-APSS-O-EETPolicy_OtherExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/other/default.aspx,(.*)/sites/APSS/EETPolicy/other/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_OtherExpenses,yes,no,no
36212781,ATT-AP-APSS-O-EETPolicy_CSMExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/other/csm/default.aspx,(.*)/sites/APSS/EETPolicy/other/csm/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_CSMExpenses,yes,no,no
36212782,ATT-AP-APSS-O-EETPolicy_MiscExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/other/misc/default.aspx,(.*)/sites/APSS/EETPolicy/other/misc/default.aspx,ATT-AP-APSS-O-EETPolicy_MiscExpenses,yes,no,no
36212783,ATT-AP-APSS-O-EETPolicy_OtherTelecomExpenses,https://workspace.web.att.com/sites/APSS/EETPolicy/other/telecom/default.aspx,(.*)/sites/APSS/EETPolicy/other/telecom/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_OtherTelecomExpenses,yes,no,no
36212784,ATT-AP-APSS-O-EETPolicy_Overview,https://workspace.web.att.com/sites/APSS/EETPolicy/Overview/default.aspx,(.*)/sites/APSS/EETPolicy/Overview/default.aspx(.*),ATT-AP-APSS-O-EETPolicy_Overview,yes,no,no
